[2026-08-18T21:43:18.564Z] GET http://localhost:4173/projects/eco.jpg → 200 (5ms, 52230B)
[2026-08-18T21:43:55.757Z] GET http://localhost:4173/ → 200 (2ms, 1006B)
[2026-08-18T21:43:55.762Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400..800&family=IBM+Plex+Mono:wght@400;500&family=Public+Sans:wght@400;500;600&display=swap → 200 (1ms, 9275B)
[2026-08-18T21:43:55.763Z] GET http://localhost:4173/assets/index--EC7sCHc.js → 200 (2ms, 214132B)
[2026-08-18T21:43:55.763Z] GET http://localhost:4173/assets/index-BZpo86sQ.css → 200 (?ms, 9994B)
[2026-08-18T21:43:55.767Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (1ms, ?B)
[2026-08-18T21:43:55.768Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (1ms, ?B)
[2026-08-18T21:43:55.769Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-08-18T21:43:55.769Z] GET https://fonts.gstatic.com/s/publicsans/v21/ijwRs572Xtc6ZYQws9YVwnNGfJ7QwOk1.woff2 → 200 (?ms, ?B)
[2026-08-18T21:43:55.775Z] GET http://localhost:4173/marcelo.jpg → 304 (1ms, ?B)
[2026-08-18T21:43:55.775Z] GET http://localhost:4173/logos/ibm.png → 304 (3ms, ?B)
[2026-08-18T21:43:55.775Z] GET http://localhost:4173/logos/tec.png → 304 (4ms, ?B)
[2026-08-18T21:43:55.775Z] GET http://localhost:4173/logos/nl.svg → 304 (4ms, ?B)
[2026-08-18T21:43:55.775Z] GET http://localhost:4173/logos/seitc.png → 304 (4ms, ?B)
[2026-08-18T21:43:55.776Z] GET http://localhost:4173/logos/federico.png → 304 (3ms, ?B)
[2026-08-18T21:43:55.776Z] GET http://localhost:4173/projects/lere.jpg → 304 (3ms, ?B)
[2026-08-18T21:43:55.776Z] GET http://localhost:4173/projects/mabe.jpg → 304 (2ms, ?B)
[2026-08-18T21:43:55.776Z] GET http://localhost:4173/projects/trionda.jpg → 304 (3ms, ?B)
[2026-08-18T21:43:55.776Z] GET http://localhost:4173/projects/eco.jpg → 304 (3ms, ?B)
[2026-08-18T21:44:43.551Z] GET http://localhost:4173/ → 200 (2ms, 1006B)
[2026-08-18T21:44:43.556Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400..800&family=IBM+Plex+Mono:wght@400;500&family=Public+Sans:wght@400;500;600&display=swap → 200 (?ms, 9275B)
[2026-08-18T21:44:43.556Z] GET http://localhost:4173/assets/index-539gX26H.js → 200 (9ms, 214458B)
[2026-08-18T21:44:43.556Z] GET http://localhost:4173/assets/index-Sd59ESpB.css → 200 (1ms, 10260B)
[2026-08-18T21:44:43.569Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-08-18T21:44:43.570Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-08-18T21:44:43.570Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-08-18T21:44:43.570Z] GET https://fonts.gstatic.com/s/publicsans/v21/ijwRs572Xtc6ZYQws9YVwnNGfJ7QwOk1.woff2 → 200 (?ms, ?B)
[2026-08-18T21:44:43.577Z] GET http://localhost:4173/marcelo.jpg → 200 (1ms, 153911B)
[2026-08-18T21:44:43.577Z] GET http://localhost:4173/logos/ibm.png → 200 (1ms, 12841B)
[2026-08-18T21:44:43.577Z] GET http://localhost:4173/logos/tec.png → 200 (6ms, 40922B)
[2026-08-18T21:44:43.577Z] GET http://localhost:4173/logos/nl.svg → 200 (7ms, 9562B)
[2026-08-18T21:44:43.577Z] GET http://localhost:4173/logos/seitc.png → 200 (6ms, 24571B)
[2026-08-18T21:44:43.577Z] GET http://localhost:4173/logos/federico.png → 200 (7ms, 31951B)
[2026-08-18T21:44:43.577Z] GET http://localhost:4173/projects/lere.jpg → 200 (7ms, 118995B)
[2026-08-18T21:44:43.578Z] GET http://localhost:4173/projects/mabe.jpg → 200 (6ms, 40348B)
[2026-08-18T21:44:43.578Z] GET http://localhost:4173/projects/trionda.jpg → 200 (6ms, 130780B)
[2026-08-18T21:44:43.578Z] GET http://localhost:4173/projects/eco.jpg → 200 (6ms, 52230B)
[2026-08-18T21:45:13.238Z] GET http://localhost:4173/projects/seitc-award.jpg → 200 (2ms, 136955B)
[2026-08-18T21:55:34.155Z] GET http://localhost:4173/ → 200 (22ms, 1006B)
[2026-08-18T21:55:34.216Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400..800&family=IBM+Plex+Mono:wght@400;500&family=Public+Sans:wght@400;500;600&display=swap → 200 (1ms, 9275B)
[2026-08-18T21:55:34.217Z] GET http://localhost:4173/assets/index-D2-mq1zg.js → 200 (7ms, 215007B)
[2026-08-18T21:55:34.217Z] GET http://localhost:4173/assets/index-BHke5wo4.css → 200 (?ms, 10723B)
[2026-08-18T21:55:34.226Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-08-18T21:55:34.226Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-08-18T21:55:34.227Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-08-18T21:55:34.227Z] GET https://fonts.gstatic.com/s/publicsans/v21/ijwRs572Xtc6ZYQws9YVwnNGfJ7QwOk1.woff2 → 200 (?ms, ?B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/marcelo.jpg → 200 (1ms, 153911B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/logos/ibm.png → 200 (1ms, 12841B)
